ticker,fiscal_quarter_end,earnings_date_actual,decision_date_T,source,provenance_caveat
FANG,2020-06-30,2020-08-03,2020-07-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2020-09-30,2020-11-02,2020-10-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2020-12-31,2021-02-22,2021-02-08,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2021-03-31,2021-05-03,2021-04-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2021-06-30,2021-08-02,2021-07-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2021-09-30,2021-11-01,2021-10-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2021-12-31,2022-02-22,2022-02-08,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2022-03-31,2022-05-02,2022-04-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2022-06-30,2022-08-01,2022-07-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2022-09-30,2022-11-07,2022-10-24,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2022-12-31,2023-02-21,2023-02-07,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2023-03-31,2023-05-01,2023-04-17,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
