ticker,date,adj_close,ret
DVN,2025-08-12,32.7075,0.013690
DVN,2025-08-13,33.0020,0.009004
DVN,2025-08-14,33.2278,0.006841
DVN,2025-08-15,33.0707,-0.004727
DVN,2025-08-18,32.9333,-0.004155
DVN,2025-08-19,32.9627,0.000894
DVN,2025-08-20,33.1591,0.005956
DVN,2025-08-21,33.2670,0.003256
DVN,2025-08-22,34.5137,0.037474
DVN,2025-08-25,35.1125,0.017349
DVN,2025-08-26,34.5824,-0.015096
DVN,2025-08-27,34.9063,0.009367
DVN,2025-08-28,35.2205,0.008999
DVN,2025-08-29,35.4364,0.006132
DVN,2025-09-02,35.7505,0.008864
DVN,2025-09-03,34.4352,-0.036793
DVN,2025-09-04,34.9260,0.014253
DVN,2025-09-05,34.1210,-0.023047
DVN,2025-09-08,33.8756,-0.007192
DVN,2025-09-09,33.6793,-0.005795
DVN,2025-09-10,34.8671,0.035267
DVN,2025-09-11,34.6413,-0.006475
DVN,2025-09-12,34.1309,-0.014735
DVN,2025-09-15,33.3796,-0.022010
DVN,2025-09-16,34.5658,0.035534
DVN,2025-09-17,35.0007,0.012582
DVN,2025-09-18,34.6053,-0.011296
DVN,2025-09-19,33.5674,-0.029991
DVN,2025-09-22,33.3302,-0.007067
DVN,2025-09-23,34.0814,0.022538
DVN,2025-09-24,34.8030,0.021172
DVN,2025-09-25,35.3466,0.015621
DVN,2025-09-26,36.5624,0.034396
DVN,2025-09-29,35.1094,-0.039741
DVN,2025-09-30,34.6547,-0.012950
DVN,2025-10-01,34.9117,0.007416
DVN,2025-10-02,33.9233,-0.028313
DVN,2025-10-03,34.1605,0.006993
DVN,2025-10-06,34.5065,0.010127
DVN,2025-10-07,34.5855,0.002292
DVN,2025-10-08,34.5658,-0.000572
DVN,2025-10-09,33.9529,-0.017730
DVN,2025-10-10,32.1243,-0.053857
DVN,2025-10-13,32.8261,0.021846
DVN,2025-10-14,32.3319,-0.015056
DVN,2025-10-15,32.2331,-0.003057
DVN,2025-10-16,31.6598,-0.017786
DVN,2025-10-17,31.3731,-0.009054
DVN,2025-10-20,31.5609,0.005986
DVN,2025-10-21,31.6894,0.004071
DVN,2025-10-22,32.0354,0.010917
DVN,2025-10-23,33.0535,0.031780
DVN,2025-10-24,32.5889,-0.014055
